run_index,user_id,name,email,role,status,horizon_days,version,generation_id,ai_request_id,provider,model,diet_days_count,workout_days_count,review_after_days,usage_input_tokens,usage_output_tokens,usage_total_tokens,duration_ms,started_at,finished_at,error_type,error_message
1,1,"Test User",test@example.com,client,success,14,4,19cd2d0c-93d1-4490-9edb-b8c6adedfd5b,159,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45891,2026-04-05T10:13:28+00:00,2026-04-05T10:14:14+00:00,,
2,1,"Test User",test@example.com,client,success,21,5,3a2a24a2-b233-4069-a095-dac73f70f993,160,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45946,2026-04-05T10:14:14+00:00,2026-04-05T10:15:00+00:00,,
3,1,"Test User",test@example.com,client,success,28,6,5507c0c2-0c8c-4d7c-9f15-7de109bcfeeb,161,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46109,2026-04-05T10:15:00+00:00,2026-04-05T10:15:46+00:00,,
4,2,"Admin User",admin@hayetak.local,admin,success,14,1,fc626c68-0191-4437-b5fb-06dfcf273b5a,162,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45767,2026-04-05T10:15:46+00:00,2026-04-05T10:16:32+00:00,,
5,2,"Admin User",admin@hayetak.local,admin,success,21,2,fc29c8ee-2cd0-4973-bd08-11f7c1a98f55,163,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45849,2026-04-05T10:16:32+00:00,2026-04-05T10:17:18+00:00,,
6,2,"Admin User",admin@hayetak.local,admin,success,28,3,a22ba0a5-4c34-40a8-9f97-d3d4db1cf554,164,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46112,2026-04-05T10:17:18+00:00,2026-04-05T10:18:04+00:00,,
7,3,"Celine Client",client@hayetak.local,client,success,14,4,d01aaca6-e1c2-44bb-b1f7-afba97f248a7,165,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45730,2026-04-05T10:18:04+00:00,2026-04-05T10:18:50+00:00,,
8,3,"Celine Client",client@hayetak.local,client,success,21,5,22858ea6-3729-40b9-bc28-2d1e3f8b8ca4,166,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45868,2026-04-05T10:18:50+00:00,2026-04-05T10:19:35+00:00,,
9,3,"Celine Client",client@hayetak.local,client,success,28,6,05373422-a7cf-47da-854a-add76bc0d591,167,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46124,2026-04-05T10:19:35+00:00,2026-04-05T10:20:22+00:00,,
10,4,"Nora Haddad",dietitian1@hayetak.local,nutritionist,success,14,1,0d5e5a46-34d7-4610-8912-692cb1d35c59,168,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45703,2026-04-05T10:20:22+00:00,2026-04-05T10:21:07+00:00,,
11,4,"Nora Haddad",dietitian1@hayetak.local,nutritionist,success,21,2,0c92fd9d-18ac-45db-a82c-facd068625e7,169,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45856,2026-04-05T10:21:07+00:00,2026-04-05T10:21:53+00:00,,
12,4,"Nora Haddad",dietitian1@hayetak.local,nutritionist,success,28,3,3acbd14a-ec33-4481-83e4-70d81d36b17f,170,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46116,2026-04-05T10:21:53+00:00,2026-04-05T10:22:39+00:00,,
13,5,"Maya Nasser",dietitian2@hayetak.local,nutritionist,success,14,1,6dc73abc-3f02-4b73-a135-0d5e3ec8c633,171,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45759,2026-04-05T10:22:39+00:00,2026-04-05T10:23:25+00:00,,
14,5,"Maya Nasser",dietitian2@hayetak.local,nutritionist,success,21,2,19456ab7-287f-4729-810a-0a7bff7a2ab2,172,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45855,2026-04-05T10:23:25+00:00,2026-04-05T10:24:11+00:00,,
15,5,"Maya Nasser",dietitian2@hayetak.local,nutritionist,success,28,3,7b2e4f17-8e21-42b5-b522-95a76d71cf3e,173,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46134,2026-04-05T10:24:11+00:00,2026-04-05T10:24:57+00:00,,
16,6,"Rami Saad",dietitian3@hayetak.local,nutritionist,success,14,1,f48f8738-2d9c-4791-a446-41a60892a674,174,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45689,2026-04-05T10:24:57+00:00,2026-04-05T10:25:43+00:00,,
17,6,"Rami Saad",dietitian3@hayetak.local,nutritionist,success,21,2,01e0a968-3339-4855-b763-2af677082e67,175,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45917,2026-04-05T10:25:43+00:00,2026-04-05T10:26:29+00:00,,
18,6,"Rami Saad",dietitian3@hayetak.local,nutritionist,success,28,3,b764f424-d5a7-4b6a-b28c-ab8368120aa7,176,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46083,2026-04-05T10:26:29+00:00,2026-04-05T10:27:15+00:00,,
19,7,"Lina Khalil",dietitian4@hayetak.local,nutritionist,success,14,1,993b41dc-6225-44a0-874b-91449473d3cc,177,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45727,2026-04-05T10:27:15+00:00,2026-04-05T10:28:00+00:00,,
20,7,"Lina Khalil",dietitian4@hayetak.local,nutritionist,success,21,2,1a8806bf-b9dd-49b1-bb94-8615e7aae246,178,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45914,2026-04-05T10:28:00+00:00,2026-04-05T10:28:46+00:00,,
21,7,"Lina Khalil",dietitian4@hayetak.local,nutritionist,success,28,3,391a7feb-301c-448d-b0cd-15b275e32217,179,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46104,2026-04-05T10:28:46+00:00,2026-04-05T10:29:32+00:00,,
22,8,"Karim Mansour",dietitian5@hayetak.local,nutritionist,success,14,1,cfcea3e0-e63b-43c4-af71-7c01952506e1,180,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45730,2026-04-05T10:29:32+00:00,2026-04-05T10:30:18+00:00,,
23,8,"Karim Mansour",dietitian5@hayetak.local,nutritionist,success,21,2,2ba5ed06-562d-4f8d-89b1-f1c11aab8592,181,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45905,2026-04-05T10:30:18+00:00,2026-04-05T10:31:04+00:00,,
