ai_request_id,user_id,plan_generated_at,horizon_days,goal_mode,gender,age,height_cm,diet_type,workout_location,target_workout_days_per_week,baseline_weight_kg,target_weight_change_kg,target_projected_weight_kg,target_calories_kcal,target_protein_g,target_carbs_g,target_fat_g,planned_diet_days,planned_unique_snacks,planned_workout_days,planned_exercises_per_train_day_avg,meal_logged_days,meal_logged_days_pct,meal_entry_count,actual_avg_calories,actual_avg_protein_g,actual_avg_carbs_g,actual_avg_fat_g,snack_variety_count,calorie_adherence_ratio,protein_adherence_ratio,workout_sessions,workout_minutes_total,workout_avg_minutes,workout_set_count,workout_unique_exercises,workout_volume_load_kg,strength_baseline_index,strength_final_index,strength_progress_pct,label_end_weight_kg,label_actual_weight_change_kg,label_actual_weekly_weight_change_kg,label_prediction_error_kg,label_strength_progress_pct,has_weight_label,has_strength_label
42,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
43,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
48,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1800,130,175,60,7,0,3,3,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0762,0.107,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
49,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1800,130,175,60,7,0,3,3,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0762,0.107,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
55,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
56,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
57,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
58,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
59,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
60,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
61,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
62,40,2026-04-03,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,7,1,5,4,1,7.14,6,137.221,13.911,6.724,5.586,1,0.0803,0.1265,1,54,54,8,3,500.8,,,,60.2,-0.8,-0.4,,,1,0
63,40,2026-04-04,14,maintain,female,55,160,mediterranean,gym,5,61,,,1708,110,207,49,14,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,60.2,-0.8,-0.4,,,1,0
